,gripper,time
617,False,1727269620706732678
618,False,1727269620717266215
619,False,1727269620727823434
620,False,1727269620738310964
621,False,1727269620748850164
622,False,1727269620759356497
623,False,1727269620769989621
624,False,1727269620780514011
625,False,1727269620791061114
626,False,1727269620801577833
627,False,1727269620812133604
628,False,1727269620822650649
629,False,1727269620833207330
630,False,1727269620843725839
631,False,1727269620854272841
632,False,1727269620864929032
633,False,1727269620875407464
634,False,1727269620886023622
635,False,1727269620896551952
636,False,1727269620907100116
637,False,1727269620917622262
638,False,1727269620928174217
639,False,1727269620938694731
640,False,1727269620949253048
641,False,1727269620959809647
642,False,1727269620970326773
643,False,1727269620980909750
644,False,1727269620991404046
645,False,1727269621002078532
646,False,1727269621012611633
647,False,1727269621023165407
648,False,1727269621033679425
649,False,1727269621044232266
650,False,1727269621054748665
651,False,1727269621065285309
652,False,1727269621075817632
653,False,1727269621086305428
654,False,1727269621097077701
655,False,1727269621107315357
656,False,1727269621118378194
657,False,1727269621128736984
658,False,1727269621139317471
659,False,1727269621149778631
660,False,1727269621160280015
661,False,1727269621170884921
662,False,1727269621181450024
663,False,1727269621192116295
664,False,1727269621202787614
665,False,1727269621213468234
666,False,1727269621224191098
667,False,1727269621234845320
668,False,1727269621245379431
669,False,1727269621255933806
670,False,1727269621266411454
671,False,1727269621276969894
672,False,1727269621287446977
673,False,1727269621298052009
674,False,1727269621308701921
675,False,1727269621319423845
676,False,1727269621330215917
677,False,1727269621340883889
678,False,1727269621351497269
679,False,1727269621362121878
680,False,1727269621372630073
681,False,1727269621383162054
682,False,1727269621393665952
683,False,1727269621404210398
684,False,1727269621414802185
685,False,1727269621425331350
686,False,1727269621435907933
687,False,1727269621446564848
688,False,1727269621457120169
689,False,1727269621467631709
690,False,1727269621478272154
691,False,1727269621488816837
692,False,1727269621499407269
693,False,1727269621510052893
694,False,1727269621520586654
695,False,1727269621531137754
696,False,1727269621541666490
697,False,1727269621552218041
698,False,1727269621562683371
699,False,1727269621573239412
700,False,1727269621583885375
701,False,1727269621594498905
702,False,1727269621605163053
703,False,1727269621615828978
704,False,1727269621626454700
705,False,1727269621637126453
706,False,1727269621647730773
707,False,1727269621658402969
708,False,1727269621669085213
709,False,1727269621679693956
710,False,1727269621690408843
711,False,1727269621701082638
712,False,1727269621711656194
713,False,1727269621722374483
714,False,1727269621733044783
715,False,1727269621743652552
716,False,1727269621754367078
717,False,1727269621765032406
718,False,1727269621775791284
719,False,1727269621786466380
720,False,1727269621797119407
721,False,1727269621807646791
722,False,1727269621818109565
723,False,1727269621828546095
724,False,1727269621839033160
725,False,1727269621849471862
726,False,1727269621859913724
727,False,1727269621870494456
728,False,1727269621881185189
729,False,1727269621891861614
730,False,1727269621902510744
731,False,1727269621913193239
732,False,1727269621923734720
733,False,1727269621934300573
734,False,1727269621944837960
735,False,1727269621955390392
736,False,1727269621966011847
737,False,1727269621976276012
738,False,1727269621986684254
739,False,1727269621997247828
740,False,1727269622007772762
741,False,1727269622018292930
742,False,1727269622028828918
743,False,1727269622039383328
744,False,1727269622049987259
745,False,1727269622060506217
746,False,1727269622071055803
747,False,1727269622081575703
748,False,1727269622092126316
749,False,1727269622102649063
750,False,1727269622112883503
751,False,1727269622123369349
752,False,1727269622133978832
753,False,1727269622144500529
754,False,1727269622155052093
755,False,1727269622165563213
756,False,1727269622176118990
757,False,1727269622186639996
758,False,1727269622197330499
759,False,1727269622207863953
760,False,1727269622218351662
761,False,1727269622228884772
762,False,1727269622239396390
763,False,1727269622250025000
764,False,1727269622260549212
765,False,1727269622271098069
766,False,1727269622281613369
767,False,1727269622292145595
768,False,1727269622302665317
769,False,1727269622313223977
770,False,1727269622323745192
771,False,1727269622334299901
772,False,1727269622344870546
773,False,1727269622355381799
774,False,1727269622366012879
775,False,1727269622376642100
776,False,1727269622387218002
777,False,1727269622397804906
778,False,1727269622408373155
779,False,1727269622418938644
780,False,1727269622429469427
781,False,1727269622439977267
